"OWNER;TABLE_NAME;B;L;U;COMP;POS;COLS;TOTAL_GB;TOTAL_%;CUM_%;PART.;TABLE_GB;TAB_TABSPACE;IND.;INDEX_GB;IND_TABSPACE;LOBS;LOB_GB"
"SYS;WRI$_OPTSTAT_HISTGRM_HISTORY;X;;;NN-;46;17;0.22;0.01;98.94;1;0.00;SYSAUX;2;0.22;SYSAUX;0;0.00"
"SYS;WRH$_SYSSTAT;;;X;NN-;47;7;0.22;0.01;98.94;10;0.08;SYSAUX;1;0.13;SYSAUX;0;0.00"
"SYS;WRH$_SYSMETRIC_HISTORY;;;;NN-;48;11;0.21;0.01;98.95;10;0.09;SYSAUX;1;0.12;SYSAUX;0;0.00"
"SAPSR3DB;BC_JOB_JOB_ARGS;;;X;NNN;49;5;0.21;0.01;98.96;0;0.12;PSAPSR3DB;1;0.09;PSAPSR3DB;S1;0.00"
"SYS;WRH$_EVENT_HISTOGRAM;;;X;NN-;50;8;0.17;0.01;98.96;10;0.07;SYSAUX;1;0.10;SYSAUX;0;0.00"
"SAPSR3DB;J2EE_CONFIG;;;X;NN-;51;8;0.17;0.01;98.97;0;0.05;PSAPSR3DB;6;0.11;PSAPSR3DB;0;0.00"
"SYS;REGISTRY$SQLPATCH_RU_INFO;;;X;NNN;52;7;0.14;0.00;98.97;0;0.00;SYSTEM;1;0.00;SYSTEM;B2;0.14"
"SYS;WRH$_LATCH;;;X;NN-;53;18;0.13;0.00;98.98;10;0.07;SYSAUX;1;0.07;SYSAUX;0;0.00"
"SAPSR3DB;BC_JMSTOPIC;;;X;NNN;54;15;0.13;0.00;98.98;0;0.11;PSAPSR3DB;3;0.01;PSAPSR3DB;S1;0.00"
"SYS;WRH$_SQL_PLAN;;;X;NNN;55;40;0.12;0.00;98.99;0;0.03;SYSAUX;1;0.02;SYSAUX;S1;0.08"
"SAPSR3DB;XI_REPDATABLOBS;;;X;NNN;56;5;0.12;0.00;98.99;0;0.01;PSAPSR3DB;1;0.00;PSAPSR3DB;S1;0.11"
"SAPSR3DB;XI_AF_PROF_PERF_AC;;;X;NNN;57;14;0.11;0.00;99.00;0;0.09;PSAPSR3DB;1;0.00;PSAPSR3DB;S1;0.02"
"SAPSR3DB;BC_MON_AGREGATES;;;X;NN-;58;9;0.11;0.00;99.00;0;0.01;PSAPSR3DB;2;0.10;PSAPSR3DB;0;0.00"
"SAPSR3DB;XI_REPSYNCBLOBS;;;X;NNN;59;7;0.11;0.00;99.00;0;0.01;PSAPSR3DB;1;0.00;PSAPSR3DB;S1;0.10"
"SYS;OPATCH_XINV_TAB;;;;N-N;60;1;0.10;0.00;99.01;0;0.00;SYSAUX;0;0.00;;S1;0.10"
"SAPSR3DB;SDBAD;X;;X;NN-;61;5;0.09;0.00;99.01;0;0.08;PSAPSR3DB;1;0.02;PSAPSR3DB;0;0.00"
"SAPSR3DB;GLX_C_CLASSES;;;X;NNN;62;4;0.09;0.00;99.01;0;0.08;PSAPSR3DB;3;0.01;PSAPSR3DB;S1;0.00"
"SAPSR3DB;GLX_C_NETWORKS;;;X;NNN;63;4;0.09;0.00;99.02;0;0.00;PSAPSR3DB;1;0.00;PSAPSR3DB;S1;0.09"
"SAPSR3DB;GLX_C_ASYNCQ;;;X;NLN;64;8;0.09;0.00;99.02;0;0.07;PSAPSR3DB;2;0.01;PSAPSR3DB;S1;0.00"
"SAPSR3DB;GLX_C_SEPARATIONS;;;X;NN-;65;2;0.08;0.00;99.02;0;0.03;PSAPSR3DB;2;0.06;PSAPSR3DB;0;0.00"
"SAPSR3DB;EP_ATTR_HEADERS3;;;X;NNN;66;16;0.08;0.00;99.02;0;0.01;PSAPSR3DB;2;0.01;PSAPSR3DB;S2;0.06"
"SAPSR3DB;B2B_EDI_CTRL_MSG;;;X;NL-;67;9;0.07;0.00;99.03;0;0.04;PSAPSR3DB;1;0.03;PSAPSR3DB;0;0.00"
"SYS;IDL_UB1$;;X;X;NN-;68;6;0.07;0.00;99.03;0;0.07;SYSTEM;1;0.00;SYSTEM;0;0.00"
"SYS;WRP$_REPORTS_DETAILS;;;X;NNN;69;9;0.07;0.00;99.03;44;0.01;SYSAUX;3;0.01;SYSAUX;S1;0.05"
"SAPSR3DB;TC_WDRR_MRO_FILES;;;X;NNN;70;12;0.07;0.00;99.03;0;0.00;PSAPSR3DB;2;0.00;PSAPSR3DB;S1;0.07"
"SYS;WRH$_PARAMETER;;;X;NN-;71;9;0.07;0.00;99.03;10;0.03;SYSAUX;1;0.03;SYSAUX;0;0.00"
"SAPSR3DB;XI_REPDATAEXTDEF;;;X;NNN;72;9;0.06;0.00;99.04;0;0.01;PSAPSR3DB;1;0.00;PSAPSR3DB;S2;0.06"
"SYS;WRH$_SQLSTAT;;;X;NN-;73;81;0.06;0.00;99.04;10;0.04;SYSAUX;2;0.02;SYSAUX;0;0.00"
"SAPSR3DB;XI_REPSYNCEXTDEF;;;X;NNN;74;11;0.05;0.00;99.04;0;0.01;PSAPSR3DB;1;0.00;PSAPSR3DB;S2;0.05"
"SYS;SYS_EXPORT_SCHEMA_01;;;X;NNN;75;111;0.05;0.00;99.04;0;0.00;SYSTEM;6;0.00;SYSTEM;B2;0.05"
"SYS;SYS_EXPORT_SCHEMA_02;;;X;NNN;76;111;0.05;0.00;99.04;0;0.00;SYSTEM;6;0.00;SYSTEM;B2;0.05"
"SAPSR3DB;B2B_EDI_DEF_MSG_SG;;;X;NL-;77;13;0.05;0.00;99.05;0;0.03;PSAPSR3DB;1;0.02;PSAPSR3DB;0;0.00"
"SYS;WRH$_PROCESS_WAITTIME;;;X;NN-;78;9;0.05;0.00;99.05;10;0.02;SYSAUX;1;0.03;SYSAUX;0;0.00"
"SAPSR3DB;GLX_C_JOBS;;;X;NN-;79;3;0.05;0.00;99.05;0;0.02;PSAPSR3DB;1;0.03;PSAPSR3DB;0;0.00"
"SAPSR3DB;XI_DIRDATA_LNK;;;X;NN-;80;13;0.05;0.00;99.05;0;0.02;PSAPSR3DB;3;0.03;PSAPSR3DB;0;0.00"
"SYS;WRH$_LATCH_MISSES_SUMMARY;;;X;NN-;81;10;0.05;0.00;99.05;10;0.02;SYSAUX;1;0.03;SYSAUX;0;0.00"
"SYS;OPTSTAT_SNAPSHOT$;;;;NN-;82;6;0.05;0.00;99.05;0;0.02;SYSTEM;1;0.02;SYSTEM;0;0.00"
"SYS;WRH$_CON_SYSSTAT;;;X;NN-;83;7;0.04;0.00;99.06;10;0.02;SYSAUX;1;0.03;SYSAUX;0;0.00"
"SYS;WRI$_OPTSTAT_HISTHEAD_HISTORY;X;;X;NNN;84;26;0.04;0.00;99.06;32;0.01;SYSAUX;3;0.03;SYSAUX;S1;0.00"
"SAPSR3DB;XI_AF_CPA_METADATA;;;X;NNN;85;9;0.04;0.00;99.06;0;0.00;PSAPSR3DB;2;0.00;PSAPSR3DB;S1;0.04"
"SAPSR3DB;T_CHUNK;;;X;NNN;86;6;0.04;0.00;99.06;0;0.03;PSAPSR3DB;2;0.00;PSAPSR3DB;S1;0.00"
"SYS;SOURCE$;;;X;NN-;87;3;0.03;0.00;99.06;0;0.03;SYSTEM;1;0.01;SYSTEM;0;0.00"
"SYSTEM;LOGMNR_LOG$;;;X;NL-;88;31;0.03;0.00;99.06;0;0.02;SYSAUX;6;0.02;SYSAUX;0;0.00"
"SYS;WRH$_CON_SYSTEM_EVENT;;;X;NN-;89;12;0.03;0.00;99.06;10;0.02;SYSAUX;1;0.02;SYSAUX;0;0.00"
