OWNER;TABLE_NAME;B;L;U;COMP;POS;COLS;TOTAL_GB;TOTAL_%;CUM_%;PART.;TABLE_GB;TAB_TABSPACE;IND.;INDEX_GB;IND_TABSPACE;LOBS;LOB_GB
SAPSR3DB;XI_AF_CPA_METADATA;;;X;NNN;84;9;0.04;0.0;98.61;0;0.0;PSAPSR3DB;2;0.0;PSAPSR3DB;S1;0.04
SYS;WRI$_OPTSTAT_HISTHEAD_HISTORY;X;;X;NNN;85;26;0.04;0.0;98.62;29;0.01;SYSAUX;3;0.03;SYSAUX;S1;0.0
SAPSR3DB;T_CHUNK;;;X;NNN;86;6;0.04;0.0;98.62;0;0.03;PSAPSR3DB;2;0.0;PSAPSR3DB;S1;0.0
SYS;WRH$_CON_SYSTEM_EVENT;;;X;NN-;87;12;0.03;0.0;98.62;11;0.02;SYSAUX;1;0.02;SYSAUX;0;0.0
SYS;WRH$_SYSTEM_EVENT;;;X;NN-;88;12;0.03;0.0;98.62;11;0.02;SYSAUX;1;0.02;SYSAUX;0;0.0
SYS;WRH$_SEG_STAT;;;X;NN-;89;57;0.03;0.0;98.62;11;0.02;SYSAUX;1;0.01;SYSAUX;0;0.0
SYSTEM;LOGMNR_LOG$;;;X;NL-;90;31;0.03;0.0;98.63;0;0.02;SYSAUX;6;0.02;SYSAUX;0;0.0
SYS;SOURCE$;;;X;NN-;91;3;0.03;0.0;98.63;0;0.03;SYSTEM;1;0.01;SYSTEM;0;0.0
SYS;WRI$_ADV_MESSAGE_GROUPS;;;X;NN-;92;14;0.03;0.0;98.63;0;0.01;SYSAUX;2;0.02;SYSAUX;0;0.0
SAPSR3DB;XI_REPSYNCBLOB;;;X;NNN;93;6;0.03;0.0;98.63;0;0.0;PSAPSR3DB;1;0.0;PSAPSR3DB;S1;0.02
SAPSR3DB;XI_PVSETELEMENT;;;;NN-;94;12;0.03;0.0;98.63;0;0.01;PSAPSR3DB;6;0.02;PSAPSR3DB;0;0.0
SAPSR3DB;XI_REPSYNC_LNK;;;X;NN-;95;15;0.03;0.0;98.63;0;0.01;PSAPSR3DB;3;0.02;PSAPSR3DB;0;0.0
SYS;METASTYLESHEET;;;;N-N;96;3;0.03;0.0;98.63;0;0.0;SYSTEM;0;0.0;;B1;0.03
SAPSR3DB;XI_REPDATABLOB;;;X;NNN;97;4;0.03;0.0;98.63;0;0.0;PSAPSR3DB;1;0.0;PSAPSR3DB;S1;0.02
SAPSR3DB;BC_COMP_CLS;;;X;NN-;98;3;0.03;0.0;98.63;0;0.01;PSAPSR3DB;3;0.02;PSAPSR3DB;0;0.0
SAPSR3DB;XI_REPDATAADAPTMD;;;X;NNN;99;2;0.03;0.0;98.64;0;0.0;PSAPSR3DB;1;0.0;PSAPSR3DB;S1;0.03
SYSTEM;LOGMNR_COL$;;;;NN-;100;20;0.03;0.0;98.64;2;0.01;SYSAUX;3;0.02;SYSAUX;0;0.0
