OWNER;TABLE_NAME;B;L;U;COMP;POS;COLS;TOTAL_GB;TOTAL_%;CUM_%;PART.;TABLE_GB;TAB_TABSPACE;IND.;INDEX_GB;IND_TABSPACE;LOBS;LOB_GB
SAPSR3DB;XI_REPSYNCBLOBS;;;X;NNN;59;7;0.11;0.01;98.57;0;0.01;PSAPSR3DB;1;0.0;PSAPSR3DB;S1;0.1
SYS;OPATCH_XINV_TAB;;;;N-N;60;1;0.1;0.0;98.57;0;0.0;SYSAUX;0;0.0;;S1;0.1
SAPSR3DB;SDBAD;X;;X;NN-;61;5;0.09;0.0;98.58;0;0.08;PSAPSR3DB;1;0.02;PSAPSR3DB;0;0.0
SAPSR3DB;GLX_C_CLASSES;;;X;NNN;62;4;0.09;0.0;98.58;0;0.08;PSAPSR3DB;3;0.01;PSAPSR3DB;S1;0.0
SAPSR3DB;GLX_C_NETWORKS;;;X;NNN;63;4;0.09;0.0;98.59;0;0.0;PSAPSR3DB;1;0.0;PSAPSR3DB;S1;0.09
SAPSR3DB;GLX_C_ASYNCQ;;;X;NLN;64;8;0.09;0.0;98.59;0;0.07;PSAPSR3DB;2;0.01;PSAPSR3DB;S1;0.0
SAPSR3DB;GLX_C_SEPARATIONS;;;X;NN-;65;2;0.08;0.0;98.59;0;0.03;PSAPSR3DB;2;0.06;PSAPSR3DB;0;0.0
SAPSR3DB;EP_ATTR_HEADERS3;;;X;NNN;66;16;0.08;0.0;98.6;0;0.01;PSAPSR3DB;2;0.01;PSAPSR3DB;S2;0.06
SAPSR3DB;B2B_EDI_CTRL_MSG;;;X;NL-;67;9;0.07;0.0;98.6;0;0.04;PSAPSR3DB;1;0.03;PSAPSR3DB;0;0.0
SYS;IDL_UB1$;;X;X;NN-;68;6;0.07;0.0;98.6;0;0.07;SYSTEM;1;0.0;SYSTEM;0;0.0
SYS;WRP$_REPORTS_DETAILS;;;X;NNN;69;9;0.07;0.0;98.61;43;0.01;SYSAUX;3;0.01;SYSAUX;S1;0.05
SYS;WRH$_PARAMETER;;;X;NN-;70;9;0.07;0.0;98.61;10;0.03;SYSAUX;1;0.04;SYSAUX;0;0.0
SAPSR3DB;TC_WDRR_MRO_FILES;;;X;NNN;71;12;0.07;0.0;98.61;0;0.0;PSAPSR3DB;2;0.0;PSAPSR3DB;S1;0.07
SYS;WRH$_SQLSTAT;;;X;NN-;72;81;0.06;0.0;98.62;10;0.04;SYSAUX;2;0.02;SYSAUX;0;0.0
SAPSR3DB;XI_REPDATAEXTDEF;;;X;NNN;73;9;0.06;0.0;98.62;0;0.01;PSAPSR3DB;1;0.0;PSAPSR3DB;S2;0.06
SAPSR3DB;XI_REPSYNCEXTDEF;;;X;NNN;74;11;0.05;0.0;98.62;0;0.01;PSAPSR3DB;1;0.0;PSAPSR3DB;S2;0.05
SYS;SYS_EXPORT_SCHEMA_01;;;X;NNN;75;111;0.05;0.0;98.63;0;0.0;SYSTEM;6;0.0;SYSTEM;B2;0.05
SYS;SYS_EXPORT_SCHEMA_02;;;X;NNN;76;111;0.05;0.0;98.63;0;0.0;SYSTEM;6;0.0;SYSTEM;B2;0.05
SYS;WRH$_PROCESS_WAITTIME;;;X;NN-;77;9;0.05;0.0;98.63;10;0.02;SYSAUX;1;0.03;SYSAUX;0;0.0
SAPSR3DB;B2B_EDI_DEF_MSG_SG;;;X;NL-;78;13;0.05;0.0;98.63;0;0.03;PSAPSR3DB;1;0.02;PSAPSR3DB;0;0.0
SYS;WRH$_LATCH_MISSES_SUMMARY;;;X;NN-;79;10;0.05;0.0;98.64;10;0.02;SYSAUX;1;0.03;SYSAUX;0;0.0
SAPSR3DB;XI_DIRDATA_LNK;;;X;NN-;80;13;0.05;0.0;98.64;0;0.02;PSAPSR3DB;3;0.03;PSAPSR3DB;0;0.0
SAPSR3DB;GLX_C_JOBS;;;X;NN-;81;3;0.05;0.0;98.64;0;0.02;PSAPSR3DB;1;0.03;PSAPSR3DB;0;0.0
SYS;OPTSTAT_SNAPSHOT$;;;;NN-;82;6;0.05;0.0;98.64;0;0.02;SYSTEM;1;0.02;SYSTEM;0;0.0
SYS;WRH$_CON_SYSSTAT;;;X;NN-;83;7;0.04;0.0;98.64;10;0.02;SYSAUX;1;0.03;SYSAUX;0;0.0
SYS;WRI$_OPTSTAT_HISTHEAD_HISTORY;X;;X;NNN;84;26;0.04;0.0;98.65;29;0.01;SYSAUX;3;0.03;SYSAUX;S1;0.0
SAPSR3DB;XI_AF_CPA_METADATA;;;X;NNN;85;9;0.04;0.0;98.65;0;0.0;PSAPSR3DB;2;0.0;PSAPSR3DB;S1;0.04
SAPSR3DB;T_CHUNK;;;X;NNN;86;6;0.04;0.0;98.65;0;0.03;PSAPSR3DB;2;0.0;PSAPSR3DB;S1;0.0
SYS;WRH$_CON_SYSTEM_EVENT;;;X;NN-;87;12;0.03;0.0;98.65;10;0.02;SYSAUX;1;0.02;SYSAUX;0;0.0
SYS;WRH$_SYSTEM_EVENT;;;X;NN-;88;12;0.03;0.0;98.65;10;0.02;SYSAUX;1;0.02;SYSAUX;0;0.0
SYS;SOURCE$;;;X;NN-;89;3;0.03;0.0;98.66;0;0.03;SYSTEM;1;0.01;SYSTEM;0;0.0
SYSTEM;LOGMNR_LOG$;;;X;NL-;90;31;0.03;0.0;98.66;0;0.02;SYSAUX;6;0.02;SYSAUX;0;0.0
SYS;WRH$_SEG_STAT;;;X;NN-;91;57;0.03;0.0;98.66;10;0.02;SYSAUX;1;0.01;SYSAUX;0;0.0
SYS;WRI$_ADV_MESSAGE_GROUPS;;;X;NN-;92;14;0.03;0.0;98.66;0;0.01;SYSAUX;2;0.02;SYSAUX;0;0.0
SAPSR3DB;XI_REPSYNCBLOB;;;X;NNN;93;6;0.03;0.0;98.66;0;0.0;PSAPSR3DB;1;0.0;PSAPSR3DB;S1;0.02
SAPSR3DB;XI_PVSETELEMENT;;;;NN-;94;12;0.03;0.0;98.66;0;0.01;PSAPSR3DB;6;0.02;PSAPSR3DB;0;0.0
SAPSR3DB;XI_REPSYNC_LNK;;;X;NN-;95;15;0.03;0.0;98.66;0;0.01;PSAPSR3DB;3;0.02;PSAPSR3DB;0;0.0
SYS;METASTYLESHEET;;;;N-N;96;3;0.03;0.0;98.67;0;0.0;SYSTEM;0;0.0;;B1;0.03
SAPSR3DB;XI_REPDATABLOB;;;X;NNN;97;4;0.03;0.0;98.67;0;0.0;PSAPSR3DB;1;0.0;PSAPSR3DB;S1;0.02
SAPSR3DB;BC_COMP_CLS;;;X;NN-;98;3;0.03;0.0;98.67;0;0.01;PSAPSR3DB;3;0.02;PSAPSR3DB;0;0.0
SAPSR3DB;XI_REPDATAADAPTMD;;;X;NNN;99;2;0.03;0.0;98.67;0;0.0;PSAPSR3DB;1;0.0;PSAPSR3DB;S1;0.03
SYSTEM;LOGMNR_COL$;;;;NN-;100;20;0.03;0.0;98.67;2;0.01;SYSAUX;3;0.02;SYSAUX;0;0.0
